p (mbar),T (degC),Tdew (degC),rh (%),max. wv (m/s),SWDR (W/m�)
1006.69,3.84,-0.97,70.7,1.92,206.04
1006.6,4.03,-0.92,70.0,1.12,196.38
1006.41,3.7,-1.09,70.8,2.12,187.32
1006.3,3.45,-1.06,72.2,1.88,176.66
1006.26,3.64,-1.03,71.4,1.84,163.58
1006.19,3.89,-1.0,70.3,2.06,149.5
1006.06,3.87,-1.0,70.4,1.92,136.82
1006.01,4.32,-0.83,69.02,1.08,120.72
1006.01,4.58,-0.75,68.2,1.32,104.43
1006.03,4.2,-0.86,69.47,1.2,87.12
1006.02,4.07,-0.82,70.3,0.88,67.81
1006.02,4.44,-0.69,69.19,0.68,47.69
1005.99,4.5,-0.73,68.67,0.96,29.18
1005.87,4.34,-0.91,68.54,1.12,15.69
1005.83,3.74,-1.13,70.4,1.36,8.45
1005.78,3.23,-1.22,72.5,1.6,4.63
1005.71,2.99,-1.28,73.4,1.36,1.81
1005.71,2.89,-1.32,73.7,1.44,0.0
1005.76,2.77,-1.38,74.0,1.28,0.0
1005.88,2.6,-1.42,74.7,0.48,0.0
1005.96,2.09,-1.57,76.6,1.0,0.0
1005.96,1.63,-1.62,78.9,0.64,0.0
1006.03,1.26,-1.91,79.3,1.48,0.0
1006.0,1.03,-2.08,79.6,2.56,0.0
1005.96,0.99,-1.84,81.3,2.16,0.0
1005.93,0.85,-1.93,81.6,2.08,0.0
1005.85,0.63,-2.09,81.9,1.9,0.0
1005.81,0.35,-2.38,81.8,1.68,0.0
1005.83,0.05,-2.32,84.0,1.04,0.0
1005.78,-0.08,-2.21,85.5,0.84,0.0
1005.71,-0.21,-2.37,85.3,0.68,0.0
1005.7,-0.62,-2.69,85.8,0.76,0.0
1005.68,-1.32,-3.36,85.9,0.88,0.0
1005.71,-1.42,-2.98,89.0,1.12,0.0
1005.69,-1.31,-2.72,90.1,0.4,0.0
1005.61,-1.33,-2.8,89.6,0.82,0.0
1005.49,-1.38,-2.82,89.8,0.64,0.0
1005.57,-1.36,-2.91,89.1,1.08,0.0
1005.53,-1.48,-2.94,89.7,1.24,0.0
1005.46,-1.86,-3.37,89.3,1.2,0.0
1005.39,-2.15,-3.47,90.6,1.48,0.0
1005.34,-2.18,-3.3,92.0,1.46,0.0
1005.32,-2.24,-3.32,92.2,1.08,0.0
1005.26,-2.57,-3.64,92.3,1.44,0.0
1005.21,-2.78,-3.78,92.8,2.06,0.0
1005.12,-2.85,-3.7,93.8,1.54,0.0
1005.07,-2.95,-3.81,93.7,0.84,0.0
1005.01,-3.21,-4.05,93.9,0.68,0.0
1004.96,-3.06,-3.79,94.7,1.28,0.0
1004.84,-3.0,-3.78,94.3,1.04,0.0
1004.76,-3.21,-4.03,94.0,2.44,0.0
1004.64,-3.27,-4.05,94.3,2.12,0.0
1004.61,-3.31,-4.08,94.4,1.24,0.0
1004.54,-3.39,-4.11,94.7,1.44,0.0
1004.51,-3.35,-4.05,94.8,1.94,0.0
1004.62,-3.29,-3.99,94.9,0.76,0.0
1004.56,-3.19,-3.94,94.5,0.32,0.0
1004.45,-3.2,-3.99,94.2,0.92,0.0
1004.35,-3.32,-4.23,93.4,0.68,0.0
1004.28,-3.09,-4.03,93.2,0.64,0.0
1004.29,-2.96,-4.3,90.4,0.98,0.0
1004.26,-3.46,-4.89,89.7,1.28,0.0
1004.16,-3.39,-4.58,91.4,0.48,0.0
1004.13,-3.47,-4.68,91.3,0.64,0.0
1004.13,-3.94,-5.16,91.2,1.0,0.0
1004.11,-3.91,-5.11,91.3,1.08,0.0
1004.09,-3.86,-4.96,92.0,0.56,0.0
1004.0,-3.88,-5.17,90.7,0.88,0.0
1003.96,-4.23,-5.6,90.1,1.26,0.0
1003.86,-4.42,-5.65,91.1,1.28,0.0
1003.9,-4.42,-5.43,92.6,1.64,0.0
1003.76,-4.5,-5.47,92.9,1.48,0.0
1003.75,-4.31,-5.14,93.9,0.98,0.0
1003.72,-4.25,-5.25,92.7,1.1,0.0
1003.76,-4.2,-5.14,93.1,1.4,0.0
1003.73,-3.98,-4.92,93.1,0.8,0.0
1003.67,-4.07,-5.28,91.2,1.32,0.0
1003.51,-4.56,-6.13,88.7,1.98,0.0
1003.51,-4.78,-6.2,89.7,1.84,0.0
1003.49,-4.85,-5.94,92.0,1.72,0.0
1003.38,-4.86,-5.88,92.5,1.32,0.0
1003.27,-4.88,-5.9,92.5,0.92,0.0
1003.17,-4.91,-6.04,91.7,1.12,0.0
1003.12,-4.81,-6.14,90.3,2.28,0.0
1003.07,-5.03,-6.25,91.1,1.4,0.0
1003.08,-5.12,-6.25,91.7,1.32,0.0
1003.12,-4.72,-5.78,92.2,2.12,0.0
1003.22,-4.45,-5.76,90.5,1.04,0.0
1003.37,-4.54,-5.98,89.6,1.2,0.0
1003.32,-5.02,-6.48,89.4,1.04,0.0
1003.15,-5.39,-6.63,90.9,1.2,0.0
1002.99,-5.48,-6.72,90.9,1.48,0.0
1002.82,-5.43,-6.81,89.9,1.84,0.0
1002.67,-4.96,-6.46,89.1,1.62,0.0
1002.65,-4.87,-6.92,85.4,1.58,0.0
1002.67,-5.22,-6.84,88.3,1.74,0.0
1002.62,-5.43,-6.83,89.8,1.08,0.0
1002.55,-5.53,-6.89,90.0,1.62,0.0
1002.53,-5.45,-6.63,91.3,1.32,0.0
1002.51,-5.58,-6.84,90.7,1.2,0.0
1002.53,-5.78,-7.03,90.8,1.48,0.0
1002.53,-5.69,-6.91,91.0,0.92,0.0
1002.52,-5.44,-6.76,90.3,0.72,0.0
1002.44,-5.46,-7.04,88.5,1.28,0.0
1002.41,-5.47,-6.88,89.7,1.36,0.0
1002.37,-5.05,-6.67,88.3,0.94,0.0
1002.4,-4.94,-6.69,87.4,2.04,0.0
1002.4,-4.8,-6.69,86.5,3.19,0.0
1002.36,-4.91,-6.78,86.6,2.24,0.0
1002.35,-5.12,-6.88,87.4,1.2,0.0
1002.38,-5.13,-6.97,86.8,0.96,0.0
1002.36,-5.58,-7.29,87.6,2.02,0.0
1002.35,-5.66,-7.0,90.2,1.72,2.01
1002.27,-5.44,-6.75,90.4,1.44,23.14
1002.18,-4.73,-6.47,87.5,1.88,47.69
1002.21,-4.44,-6.65,84.4,1.52,67.4
1002.19,-4.39,-6.71,83.7,1.32,85.51
1002.25,-4.71,-6.98,84.0,2.48,103.02
1002.19,-4.68,-6.62,86.2,1.44,120.12
1002.05,-4.13,-6.58,82.9,2.06,144.27
1002.01,-4.07,-6.54,82.8,2.89,180.28
1002.0,-4.04,-6.51,82.8,2.36,218.91
1001.81,-4.16,-6.5,83.6,1.76,256.34
1001.66,-3.81,-6.11,83.9,1.72,284.1
1001.66,-3.53,-5.88,83.6,1.32,305.23
1001.57,-3.02,-5.74,81.4,2.97,321.73
1001.52,-2.78,-5.7,80.2,1.58,341.05
1001.42,-1.87,-5.34,77.0,2.04,358.35
1001.32,-1.24,-5.31,73.7,2.52,377.06
1001.39,-0.91,-5.17,72.7,1.96,387.12
1001.38,-0.56,-5.07,71.4,2.93,386.92
1001.18,-0.59,-5.1,71.4,2.68,381.09
1001.01,-0.19,-4.93,70.2,2.08,376.26
1000.87,0.48,-4.85,67.31,2.32,368.41
1000.7,1.06,-4.72,65.15,2.44,357.75
1000.49,1.8,-4.79,61.45,2.48,338.03
1000.23,1.92,-4.63,61.68,2.96,318.51
1000.03,2.72,-4.24,59.96,2.6,298.59
999.8,3.47,-3.93,58.23,2.52,274.45
999.66,4.37,-3.76,55.33,2.4,251.31
999.58,4.98,-3.81,52.83,2.1,232.8
999.46,5.58,-3.84,50.54,2.78,229.18
999.3,5.73,-3.25,52.29,2.38,221.93
999.16,6.06,-2.83,52.72,2.44,213.48
999.06,6.47,-2.31,53.29,2.42,205.84
998.98,6.47,-2.18,53.8,2.48,196.18
998.88,6.22,-2.02,55.42,2.16,184.71
998.9,5.88,-1.7,58.09,3.36,172.84
998.87,5.71,-1.41,60.07,3.0,160.16
998.81,5.91,-1.26,59.87,3.12,146.48
998.71,5.7,-1.26,60.77,3.2,133.2
998.69,5.41,-1.36,61.54,2.74,118.71
998.65,5.66,-1.42,60.22,3.57,104.63
998.66,5.77,-1.39,59.89,2.92,88.33
998.66,5.61,-1.28,61.08,2.0,68.41
998.75,5.47,-1.25,61.8,1.92,49.09
998.82,5.49,-1.25,61.73,2.96,31.79
998.94,4.96,-1.33,63.64,2.48,19.72
998.97,4.28,-1.39,66.44,1.76,10.46
999.12,3.69,-1.51,68.68,2.08,6.04
999.13,3.36,-1.55,70.1,2.0,1.81
999.28,3.25,-1.67,69.98,2.68,0.0
999.39,3.18,-1.88,69.27,2.64,0.0
999.44,3.06,-1.76,70.5,2.8,0.0
999.45,2.88,-1.99,70.2,2.36,0.0
999.51,2.61,-2.04,71.3,2.68,0.0
999.52,2.32,-2.13,72.3,1.8,0.0
999.59,1.91,-2.14,74.4,1.88,0.0
999.56,1.42,-2.31,76.1,2.68,0.0
999.58,1.41,-2.17,77.0,3.2,0.0
999.58,1.41,-2.28,76.3,3.04,0.0
999.68,1.12,-2.41,77.2,2.88,0.0
999.67,1.16,-2.35,77.3,2.28,0.0
999.71,0.91,-2.49,77.9,2.24,0.0
999.83,0.62,-2.6,78.9,1.16,0.0
999.98,0.15,-2.8,80.4,2.12,0.0
999.99,-0.08,-2.82,81.7,1.46,0.0
1000.07,-0.22,-2.83,82.5,1.48,0.0
1000.11,-0.25,-2.86,82.4,2.24,0.0
1000.05,-0.47,-2.99,83.0,3.25,0.0
1000.04,-0.46,-2.93,83.3,2.6,0.0
1000.14,-0.71,-3.03,84.2,3.25,0.0
1000.08,-0.29,-2.67,83.9,3.21,0.0
1000.15,-0.36,-2.78,83.6,2.93,0.0
1000.06,-0.52,-2.88,84.0,2.91,0.0
1000.02,-0.56,-2.85,84.4,2.44,0.0
999.93,-0.53,-2.81,84.5,2.52,0.0
999.81,-0.59,-2.83,84.7,2.6,0.0
999.7,-0.49,-2.67,85.1,2.08,0.0
999.58,-0.42,-2.6,85.1,2.04,0.0
999.54,-0.19,-2.41,84.9,1.92,0.0
999.54,-0.07,-2.34,84.6,1.92,0.0
999.51,-0.01,-2.24,84.9,3.17,0.0
999.34,0.06,-2.12,85.2,4.27,0.0
999.17,0.09,-2.07,85.3,3.81,0.0
999.05,0.33,-1.87,85.1,4.45,0.0
998.96,0.47,-1.86,84.3,4.79,0.0
998.84,0.35,-1.93,84.6,3.91,0.0
998.69,0.22,-1.93,85.4,3.65,0.0
998.56,0.26,-1.87,85.5,3.65,0.0
998.56,0.25,-1.85,85.7,1.84,0.0
998.55,0.46,-1.61,85.9,4.41,0.0
998.66,0.74,-1.42,85.4,4.25,0.0
998.68,0.79,-1.45,84.9,3.69,0.0
998.59,0.72,-1.46,85.2,1.48,0.0
998.53,0.75,-1.36,85.7,2.08,0.0
998.45,0.88,-1.22,85.8,2.48,0.0
998.39,0.93,-1.14,86.0,2.4,0.0
998.25,0.88,-1.2,85.9,2.02,0.0
998.07,0.69,-1.28,86.6,1.28,0.0
997.99,0.74,-1.14,87.2,1.66,0.0
998.01,0.92,-0.91,87.5,1.3,0.0
997.93,1.42,-0.56,86.6,1.72,0.0
997.77,1.67,-0.4,86.0,3.61,0.0
997.67,1.9,-0.28,85.4,3.53,0.0
997.57,1.99,-0.25,85.0,3.69,0.0
997.41,2.01,-0.23,85.0,3.49,0.0
997.26,2.08,-0.19,84.9,3.17,0.0
997.14,1.96,-0.27,85.1,4.77,0.0
997.01,1.78,-0.33,85.8,4.67,0.0
997.04,1.63,-0.37,86.5,4.55,0.0
996.96,1.54,-0.42,86.7,5.13,0.0
996.86,1.57,-0.32,87.2,5.17,0.0
996.71,1.74,-0.24,86.6,5.33,0.0
996.73,1.92,-0.02,86.9,4.85,0.0
996.59,2.38,0.19,85.4,6.13,0.0
996.44,2.65,0.41,85.1,7.31,0.0
996.37,2.95,0.57,84.3,7.89,0.0
996.32,3.07,0.64,84.0,8.45,0.0
996.26,3.25,0.76,83.7,8.61,0.0
996.14,3.05,0.54,83.5,4.41,0.0
996.12,2.87,0.54,84.6,5.93,0.0
996.04,2.84,0.53,84.7,5.57,0.0
995.89,2.9,0.66,85.1,8.17,0.0
995.81,2.95,0.71,85.1,6.03,0.0
995.67,3.14,0.88,85.1,8.05,0.0
995.58,3.26,0.97,84.9,6.43,0.0
995.53,3.27,0.99,84.9,6.41,0.0
995.54,3.27,1.0,85.0,3.85,0.0
995.5,3.11,0.76,84.5,4.57,0.0
995.45,2.5,0.39,85.9,5.21,0.0
995.42,2.32,0.39,87.0,4.85,0.0
995.36,2.33,0.44,87.3,5.53,0.0
995.35,2.44,0.54,87.2,5.85,0.0
995.33,2.57,0.52,86.3,5.65,0.0
995.27,2.62,0.48,85.7,5.85,0.0
995.2,2.67,0.48,85.4,6.01,0.0
995.19,2.65,0.49,85.6,5.09,0.0
995.16,2.62,0.53,86.0,4.53,0.0
995.13,2.66,0.56,86.0,4.61,0.0
995.06,2.71,0.63,86.1,5.93,0.0
995.01,2.8,0.63,85.6,5.25,0.0
994.84,2.88,0.68,85.4,5.01,0.0
994.68,3.09,0.74,84.5,5.45,0.0
994.6,3.37,0.97,84.2,6.43,0.0
994.69,3.79,1.15,82.8,7.67,0.4
994.69,3.92,1.21,82.4,5.81,1.01
994.63,3.93,1.15,82.0,4.45,1.81
994.61,3.61,0.84,82.0,5.29,4.02
994.55,3.38,0.78,83.0,3.65,4.83
994.4,3.3,0.82,83.7,3.53,7.24
994.25,3.47,0.93,83.4,4.85,9.66
994.23,3.39,0.79,83.0,5.39,17.3
994.33,3.27,0.79,83.7,4.77,20.32
994.24,3.27,0.84,84.0,5.33,15.9
994.12,3.29,0.87,84.1,4.93,14.08
994.02,3.32,0.89,84.0,5.09,21.73
993.94,3.41,0.95,83.9,4.09,40.85
993.87,3.5,1.01,83.7,3.59,42.25
993.78,3.57,1.06,83.6,4.05,23.34
993.68,3.7,1.15,83.3,4.33,17.51
993.76,3.91,1.26,82.8,2.88,12.88
993.62,4.0,1.27,82.3,2.96,26.16
993.48,4.1,1.35,82.2,3.32,23.74
993.36,4.16,1.34,81.8,3.53,22.33
993.19,4.2,1.41,82.0,3.28,25.35
992.94,4.3,1.5,81.9,3.08,43.46
992.8,4.47,1.68,82.0,2.86,44.06
992.75,4.74,1.82,81.3,2.6,37.63
992.66,4.94,1.9,80.6,2.16,36.22
992.45,5.0,1.92,80.4,3.69,41.05
992.15,5.2,2.08,80.2,2.88,60.76
991.91,5.88,2.4,78.3,6.73,73.84
991.84,6.81,2.64,74.7,9.87,71.83
991.91,6.98,2.62,73.7,4.53,76.46
991.91,7.0,2.56,73.3,10.17,75.45
991.8,6.99,2.56,73.3,10.13,54.53
991.73,6.93,2.54,73.5,11.3,38.03
991.6,6.84,2.52,73.9,11.84,54.93
991.52,6.71,2.53,74.6,9.77,115.9
991.35,6.67,2.53,74.8,11.6,96.58
991.19,6.59,2.51,75.1,11.78,53.12
991.19,6.54,2.55,75.6,10.89,62.37
991.41,6.54,2.61,75.9,11.74,45.88
991.51,6.47,2.6,76.2,10.65,27.16
991.47,6.41,2.65,76.8,9.85,28.17
991.47,6.45,2.67,76.7,9.71,20.72
991.47,6.41,2.68,77.0,9.09,18.51
991.55,6.46,2.68,76.7,8.73,27.97
991.61,6.54,2.72,76.5,7.77,20.32
991.63,6.56,2.74,76.5,7.13,29.78
991.71,6.62,2.8,76.5,7.81,21.93
991.7,6.65,2.85,76.6,7.53,18.31
991.63,6.59,2.83,76.8,7.93,12.27
991.69,6.54,2.81,77.0,7.93,5.03
991.9,6.49,2.82,77.3,6.61,1.01
991.83,6.47,2.88,77.8,6.41,0.0
991.91,6.59,2.97,77.6,6.25,0.0
991.89,6.62,3.03,77.8,7.33,0.0
991.83,6.61,3.08,78.1,8.17,0.0
991.69,6.55,3.12,78.7,8.25,0.0
991.86,6.48,3.15,79.2,6.73,0.0
991.77,6.47,3.21,79.6,7.21,0.0
991.88,6.49,3.31,80.0,6.61,0.0
991.96,6.54,3.33,79.9,6.93,0.0
991.88,6.55,3.37,80.1,6.29,0.0
991.83,6.48,3.47,81.0,6.85,0.0
991.7,6.47,3.58,81.7,6.61,0.0
991.64,6.55,3.62,81.5,7.05,0.0
991.56,6.67,3.6,80.7,6.49,0.0
991.44,6.79,3.59,80.0,8.73,0.0
991.44,6.89,3.6,79.5,7.29,0.0
991.39,6.98,3.72,79.7,9.67,0.0
991.3,6.99,3.84,80.3,8.89,0.0
991.3,7.13,3.87,79.7,8.81,0.0
991.3,7.2,3.94,79.7,8.77,0.0
991.33,7.33,4.01,79.4,9.29,0.0
991.23,7.5,4.09,78.9,10.37,0.0
991.29,7.59,4.19,79.0,11.42,0.0
991.41,7.61,4.25,79.2,7.73,0.0
991.39,7.66,4.3,79.2,9.89,0.0
991.4,7.69,4.36,79.4,10.73,0.0
991.53,7.82,4.38,78.8,9.45,0.0
991.73,7.81,4.43,79.1,7.39,0.0
991.84,7.82,4.45,79.2,6.53,0.0
992.11,7.89,4.59,79.6,5.65,0.0
992.26,7.88,4.69,80.2,5.49,0.0
992.37,7.9,4.76,80.5,6.81,0.0
992.51,7.97,4.74,80.0,5.21,0.0
992.81,7.95,4.85,80.7,4.01,0.0
993.05,7.72,5.13,83.6,3.81,0.0
993.18,7.54,5.22,85.2,4.21,0.0
993.39,7.53,5.23,85.3,2.34,0.0
993.55,7.64,5.25,84.8,3.53,0.0
993.79,7.83,5.3,84.0,4.85,0.0
993.96,8.01,5.39,83.5,4.17,0.0
994.17,8.17,5.69,84.3,3.85,0.0
994.32,7.92,5.93,87.2,8.25,0.0
994.62,7.62,5.98,89.3,4.35,0.0
995.02,7.11,5.46,89.2,5.61,0.0
995.29,6.61,4.69,87.5,3.73,0.0
995.66,6.25,3.92,85.0,4.69,0.0
995.92,5.85,3.56,85.2,3.89,0.0
996.15,5.58,3.4,85.8,4.69,0.0
996.47,5.44,3.18,85.3,4.81,0.0
996.69,5.33,2.96,84.6,4.11,0.0
996.81,5.23,2.77,84.1,3.47,0.0
997.01,5.19,2.6,83.3,5.01,0.0
997.12,5.08,2.58,83.8,4.77,0.0
997.28,4.94,2.64,85.0,4.37,0.0
997.48,4.87,2.64,85.4,3.93,0.0
997.67,4.87,2.5,84.6,3.85,0.0
997.76,4.87,2.36,83.7,4.93,0.0
997.82,4.88,2.33,83.5,3.04,0.0
997.85,4.78,2.18,83.2,4.65,0.0
997.99,4.64,1.69,81.1,4.09,0.0
998.08,4.42,1.51,81.3,5.09,0.0
998.08,4.22,1.72,83.7,2.76,0.0
998.0,4.13,1.81,84.8,3.04,0.0
998.09,4.03,1.69,84.7,3.24,0.0
998.11,3.89,1.62,85.1,3.45,0.0
998.05,3.76,1.46,84.9,4.95,0.0
997.93,3.67,1.23,84.0,2.8,0.0
997.83,3.72,1.06,82.7,3.89,0.0
997.83,3.76,0.95,81.8,3.69,0.0
997.98,3.81,0.92,81.3,3.73,0.0
997.97,3.8,0.82,80.8,3.81,0.0
997.9,3.83,0.76,80.3,3.37,0.0
997.91,3.8,0.75,80.4,4.01,0.0
997.93,3.74,0.68,80.3,4.01,0.0
998.01,3.69,0.59,80.1,3.93,0.0
998.08,3.67,0.51,79.7,4.49,0.0
998.0,3.67,0.45,79.4,4.41,0.0
998.09,3.67,0.4,79.1,4.35,0.0
998.19,3.67,0.38,79.0,3.97,0.0
998.26,3.67,0.38,79.0,3.93,0.0
998.23,3.64,0.36,79.0,4.33,0.0
998.23,3.58,0.35,79.3,3.45,0.0
998.14,3.49,0.4,80.1,3.85,0.0
998.16,3.41,0.39,80.5,4.69,0.0
998.26,3.4,0.4,80.6,3.93,0.0
998.17,3.38,0.31,80.2,3.73,0.0
998.24,3.31,0.28,80.4,2.34,0.0
998.4,3.28,0.11,79.6,2.2,0.0
998.43,3.28,0.04,79.2,2.68,0.0
998.61,3.21,-0.03,79.2,2.34,0.0
998.71,3.25,0.02,79.3,3.93,0.0
998.71,3.24,-0.08,78.8,3.04,0.0
998.76,3.27,-0.11,78.4,2.88,0.0
998.62,3.33,-0.13,78.0,3.33,0.2
998.59,3.34,-0.25,77.2,3.0,0.0
998.51,3.35,-0.31,76.8,2.6,1.21
998.43,3.36,-0.38,76.4,3.65,2.82
998.5,3.32,-0.43,76.3,4.67,5.43
998.59,3.27,-0.47,76.4,3.61,6.24
998.67,3.27,-0.54,76.0,4.65,7.65
998.78,3.33,-0.58,75.4,4.45,9.26
998.76,3.37,-0.66,74.8,5.37,12.27
998.63,3.4,-0.64,74.7,4.91,15.9
998.61,3.49,-0.67,74.1,4.85,15.29
998.56,3.6,-0.62,73.8,5.49,19.92
998.51,3.73,-0.59,73.3,5.29,21.33
998.53,3.87,-0.55,72.8,4.61,20.93
998.59,3.94,-0.48,72.8,4.69,24.55
998.45,4.01,-0.43,72.7,4.57,25.15
998.34,3.92,-0.33,73.7,4.65,26.36
998.18,3.87,-0.29,74.2,3.2,26.96
997.89,3.88,-0.22,74.5,5.33,29.38
997.81,3.87,-0.16,74.9,3.49,31.19
997.65,3.93,-0.13,74.7,4.81,36.22
997.58,4.03,-0.09,74.4,6.41,34.61
997.53,4.15,-0.05,74.0,4.77,33.4
997.41,4.23,-0.01,73.8,6.13,43.46
997.35,4.3,-0.01,73.4,6.75,48.29
997.06,4.44,0.0,72.8,7.31,52.52
996.93,4.54,0.02,72.4,7.73,45.88
996.51,4.63,0.07,72.2,5.41,39.84
996.39,4.68,0.04,71.8,7.37,40.04
996.22,4.77,0.11,71.7,5.21,55.53
995.9,4.87,0.1,71.1,7.01,71.23
995.76,4.99,0.17,70.9,7.29,63.38
995.76,5.12,0.22,70.5,6.45,69.62
995.64,5.21,0.19,69.93,9.47,51.91
995.56,5.23,0.23,70.0,6.01,21.53
995.61,5.31,0.24,69.71,7.31,19.92
995.8,5.34,0.27,69.66,7.27,17.91
996.1,5.4,0.33,69.68,7.77,10.06
996.0,5.31,0.53,71.2,7.61,6.64
995.96,5.07,0.83,74.0,8.33,7.65
996.01,4.8,1.27,77.8,6.09,9.46
996.11,4.55,1.5,80.5,6.59,9.86
996.18,4.36,1.69,82.7,7.21,18.91
996.22,4.3,1.72,83.2,6.61,13.28
996.15,4.37,1.73,82.9,6.05,14.08
996.04,4.44,1.71,82.4,6.81,8.05
996.07,4.53,1.72,81.9,5.65,3.82
996.09,4.6,1.75,81.7,7.77,3.02
996.27,4.7,1.8,81.4,5.01,3.42
996.21,4.83,1.83,80.8,6.57,1.81
996.11,4.97,1.87,80.3,6.45,0.4
996.07,4.87,1.86,80.8,6.21,0.0
996.16,4.92,1.91,80.8,5.65,0.0
996.34,4.94,1.93,80.8,4.73,0.0
996.34,4.94,1.93,80.8,8.65,0.0
996.38,5.0,1.92,80.4,7.45,0.0
996.47,5.11,1.95,80.0,7.77,0.0
996.48,5.26,1.96,79.2,7.19,0.0
996.66,5.34,2.04,79.2,6.73,0.0
996.95,5.21,2.23,81.0,6.57,0.0
997.54,5.03,2.51,83.7,4.57,0.0
998.11,4.5,2.36,85.9,5.13,0.0
998.59,3.35,1.47,87.4,4.01,0.0
998.97,2.55,0.97,89.3,3.57,0.0
999.2,2.08,0.69,90.5,3.12,0.0
999.26,1.93,0.66,91.2,4.57,0.0
999.31,1.93,0.57,90.6,3.61,0.0
999.33,1.84,0.4,90.1,5.13,0.0
